price,Date
50.01,2022-04-02 22:45:00
48.81,2022-04-02 23:00:00
49.2,2022-04-02 23:15:00
48.86,2022-04-02 23:30:00
48.92,2022-04-02 23:45:00
48.62,2022-04-03 00:00:00
48.97,2022-04-03 00:15:00
48.86,2022-04-03 00:30:00
49.3,2022-04-03 00:45:00
51.05,2022-04-03 01:00:00
50.58,2022-04-03 01:15:00
50.54,2022-04-03 01:30:00
50.04,2022-04-03 01:45:00
49.84,2022-04-03 02:00:00
50.17,2022-04-03 02:15:00
50.36,2022-04-03 02:30:00
51.35,2022-04-03 02:45:00
50.69,2022-04-03 03:00:00
50.91,2022-04-03 03:15:00
50.32,2022-04-03 03:30:00
50.05,2022-04-03 03:45:00
50.53,2022-04-03 04:00:00
50.49,2022-04-03 04:15:00
50.87,2022-04-03 04:30:00
50.72,2022-04-03 04:45:00
50.8,2022-04-03 05:00:00
50.39,2022-04-03 05:15:00
50.16,2022-04-03 05:30:00
50.19,2022-04-03 05:45:00
50.53,2022-04-03 06:00:00
50.38,2022-04-03 06:15:00
50.25,2022-04-03 06:30:00
50.44,2022-04-03 06:45:00
50.58,2022-04-03 07:00:00
50.58,2022-04-03 07:15:00
50.34,2022-04-03 07:30:00
50.2,2022-04-03 07:45:00
50.19,2022-04-03 08:00:00
50.56,2022-04-03 08:15:00
50.83,2022-04-03 08:30:00
50.77,2022-04-03 08:45:00
50.39,2022-04-03 09:00:00
50.6,2022-04-03 09:15:00
50.58,2022-04-03 09:30:00
50.73,2022-04-03 09:45:00
50.74,2022-04-03 10:00:00
50.39,2022-04-03 10:15:00
50.53,2022-04-03 10:30:00
50.63,2022-04-03 10:45:00
50.27,2022-04-03 11:00:00
50.39,2022-04-03 11:15:00
50.73,2022-04-03 11:30:00
50.71,2022-04-03 11:45:00
50.91,2022-04-03 12:00:00
50.64,2022-04-03 12:15:00
50.6,2022-04-03 12:30:00
50.52,2022-04-03 12:45:00
50.83,2022-04-03 13:00:00
51.14,2022-04-03 13:15:00
51.8,2022-04-03 13:30:00
52.37,2022-04-03 13:45:00
53.03,2022-04-03 14:00:00
51.49,2022-04-03 14:15:00
50.72,2022-04-03 14:30:00
50.73,2022-04-03 14:45:00
50.86,2022-04-03 15:00:00
50.66,2022-04-03 15:15:00
50.25,2022-04-03 15:30:00
50.74,2022-04-03 15:45:00
50.38,2022-04-03 16:00:00
49.86,2022-04-03 16:15:00
49.42,2022-04-03 16:30:00
49.49,2022-04-03 16:45:00
49.93,2022-04-03 17:00:00
49.65,2022-04-03 17:15:00
49.75,2022-04-03 17:30:00
49.58,2022-04-03 17:45:00
49.26,2022-04-03 18:00:00
48.53,2022-04-03 18:15:00
47.82,2022-04-03 18:30:00
47.51,2022-04-03 18:45:00
46.74,2022-04-03 19:00:00
46.69,2022-04-03 19:15:00
45.73,2022-04-03 19:30:00
45.87,2022-04-03 19:45:00
45.03,2022-04-03 20:00:00
